brand,country,channel,store_code,store_name,expense_category,account_name,account_name_en,account_name_clean,account_level,parent_account_name,account_group_name,year,amount,source_column,source_row
M,HK,아울렛,M03,Temp HK,직접비,매출총이익,Gross Profit,매출총이익,parent,,매출총이익,2026,0,26년 합계,176
M,HK,아울렛,M03,Temp HK,직접비,판매관리비,SG&A,판매관리비,parent,,판매관리비,2022,1304.5220500000003,22년 합계,177
M,HK,아울렛,M03,Temp HK,직접비,판매관리비,SG&A,판매관리비,parent,,판매관리비,2023,0,23년 합계,177
M,HK,아울렛,M03,Temp HK,직접비,판매관리비,SG&A,판매관리비,parent,,판매관리비,2024,0,24년 합계,177
M,HK,아울렛,M03,Temp HK,직접비,판매관리비,SG&A,판매관리비,parent,,판매관리비,2025,699.5142500000001,25년 합계,177
M,HK,아울렛,M03,Temp HK,직접비,판매관리비,SG&A,판매관리비,parent,,판매관리비,2026,0,26년 합계,177
M,HK,아울렛,M03,Temp HK,직접비,1. 급 여,1. Payroll,1. 급 여,parent,,1. 급 여,2022,102.02150999999999,22년 합계,178
M,HK,아울렛,M03,Temp HK,직접비,1. 급 여,1. Payroll,1. 급 여,parent,,1. 급 여,2023,0,23년 합계,178
M,HK,아울렛,M03,Temp HK,직접비,1. 급 여,1. Payroll,1. 급 여,parent,,1. 급 여,2024,0,24년 합계,178
M,HK,아울렛,M03,Temp HK,직접비,1. 급 여,1. Payroll,1. 급 여,parent,,1. 급 여,2025,0,25년 합계,178
M,HK,아울렛,M03,Temp HK,직접비,1. 급 여,1. Payroll,1. 급 여,parent,,1. 급 여,2026,0,26년 합계,178
M,HK,아울렛,M03,Temp HK,직접비,- Payroll,- Payroll,Payroll,child,1. 급 여,1. 급 여,2022,95.35681000000001,22년 합계,179
M,HK,아울렛,M03,Temp HK,직접비,- Payroll,- Payroll,Payroll,child,1. 급 여,1. 급 여,2023,0,23년 합계,179
M,HK,아울렛,M03,Temp HK,직접비,- Payroll,- Payroll,Payroll,child,1. 급 여,1. 급 여,2024,0,24년 합계,179
M,HK,아울렛,M03,Temp HK,직접비,- Payroll,- Payroll,Payroll,child,1. 급 여,1. 급 여,2025,0,25년 합계,179
M,HK,아울렛,M03,Temp HK,직접비,- Payroll,- Payroll,Payroll,child,1. 급 여,1. 급 여,2026,0,26년 합계,179
M,HK,아울렛,M03,Temp HK,직접비,- 13th payroll,- 13th payroll,13th payroll,child,1. 급 여,1. 급 여,2022,0,22년 합계,180
M,HK,아울렛,M03,Temp HK,직접비,- 13th payroll,- 13th payroll,13th payroll,child,1. 급 여,1. 급 여,2023,0,23년 합계,180
M,HK,아울렛,M03,Temp HK,직접비,- 13th payroll,- 13th payroll,13th payroll,child,1. 급 여,1. 급 여,2024,0,24년 합계,180
M,HK,아울렛,M03,Temp HK,직접비,- 13th payroll,- 13th payroll,13th payroll,child,1. 급 여,1. 급 여,2025,0,25년 합계,180
M,HK,아울렛,M03,Temp HK,직접비,- 13th payroll,- 13th payroll,13th payroll,child,1. 급 여,1. 급 여,2026,0,26년 합계,180
M,HK,아울렛,M03,Temp HK,직접비,- EMPLOYEE BENEFIT PROGRAMS,- EMPLOYEE BENEFIT PROGRAMS,EMPLOYEE BENEFIT PROGRAMS,child,1. 급 여,1. 급 여,2022,6.664699999999999,22년 합계,181
M,HK,아울렛,M03,Temp HK,직접비,- EMPLOYEE BENEFIT PROGRAMS,- EMPLOYEE BENEFIT PROGRAMS,EMPLOYEE BENEFIT PROGRAMS,child,1. 급 여,1. 급 여,2023,0,23년 합계,181
M,HK,아울렛,M03,Temp HK,직접비,- EMPLOYEE BENEFIT PROGRAMS,- EMPLOYEE BENEFIT PROGRAMS,EMPLOYEE BENEFIT PROGRAMS,child,1. 급 여,1. 급 여,2024,0,24년 합계,181
M,HK,아울렛,M03,Temp HK,직접비,- EMPLOYEE BENEFIT PROGRAMS,- EMPLOYEE BENEFIT PROGRAMS,EMPLOYEE BENEFIT PROGRAMS,child,1. 급 여,1. 급 여,2025,0,25년 합계,181
M,HK,아울렛,M03,Temp HK,직접비,- EMPLOYEE BENEFIT PROGRAMS,- EMPLOYEE BENEFIT PROGRAMS,EMPLOYEE BENEFIT PROGRAMS,child,1. 급 여,1. 급 여,2026,0,26년 합계,181
M,HK,아울렛,M03,Temp HK,직접비,2. TRAVEL & MEAL,2. TRAVEL & MEAL,2. TRAVEL & MEAL,parent,,2. TRAVEL & MEAL,2022,0.2,22년 합계,182
M,HK,아울렛,M03,Temp HK,직접비,2. TRAVEL & MEAL,2. TRAVEL & MEAL,2. TRAVEL & MEAL,parent,,2. TRAVEL & MEAL,2023,0,23년 합계,182
M,HK,아울렛,M03,Temp HK,직접비,2. TRAVEL & MEAL,2. TRAVEL & MEAL,2. TRAVEL & MEAL,parent,,2. TRAVEL & MEAL,2024,0,24년 합계,182
M,HK,아울렛,M03,Temp HK,직접비,2. TRAVEL & MEAL,2. TRAVEL & MEAL,2. TRAVEL & MEAL,parent,,2. TRAVEL & MEAL,2025,1.2579,25년 합계,182
M,HK,아울렛,M03,Temp HK,직접비,2. TRAVEL & MEAL,2. TRAVEL & MEAL,2. TRAVEL & MEAL,parent,,2. TRAVEL & MEAL,2026,0,26년 합계,182
M,HK,아울렛,M03,Temp HK,직접비,3. 피복비(유니폼),3. Uniform Expense,3. 피복비(유니폼),parent,,3. 피복비(유니폼),2022,3.4545399999999997,22년 합계,183
M,HK,아울렛,M03,Temp HK,직접비,3. 피복비(유니폼),3. Uniform Expense,3. 피복비(유니폼),parent,,3. 피복비(유니폼),2023,0,23년 합계,183
M,HK,아울렛,M03,Temp HK,직접비,3. 피복비(유니폼),3. Uniform Expense,3. 피복비(유니폼),parent,,3. 피복비(유니폼),2024,0,24년 합계,183
